case_id,docket_no,title,state,date,type,pending,opinion_link
7_Maryland_2026/02/19,7,Moira Akers v. State,Maryland,"February 19, 2026",,False,https://statecourtreport.org/sites/default/files/2026-05/supreme_court_of_maryland-opinion.pdf
23-0305_Montana_2026/04/02,23-0305,State v. Cole,Montana,"April 2, 2026",Criminal Law,False,https://statecourtreport.org/sites/default/files/2026-05/supreme_court_of_montana-opinion.pdf
84_New-York_2025/11/20,84,Clarke v. Town of Newburgh,New York,"November 20, 2025",Voting Rights and Elections,False,https://statecourtreport.org/sites/default/files/2025-11/court_of_appeals_of_new_york-opinion.pdf
20260019_Utah_2025/09/15,20260019,League of Women Voters of Utah v. Utah State Legislature (LWV 1),Utah,"September 15, 2025",Voting Rights and Elections,False,https://statecourtreport.org/sites/default/files/2025-09/supreme_court_of_utah-opinion.pdf
110-MAP-2023;-111-MAP-2023_Pennsylvania_2024/07/18,110 MAP 2023; 111 MAP 2023,Department of Environmental Protection v. Pennsylvania Legislative Reference Bureau; Bowfin KeyCon Holdings v. Pennsylvania Department of Environmental Protection,Pennsylvania,"July 18, 2024",Environment,False,https://statecourtreport.org/sites/default/files/2025-05/supreme_court_of_pennsylvania-opinion.pdf
260127_Virginia_2026/05/08,260127,McDougle v. Scott,Virginia,"May 8, 2026",Voting Rights and Elections,False,https://statecourtreport.org/sites/default/files/2026-05/supreme_court_of_virginia-opinion.pdf
425A21-3_North-Carolina_2026/04/02,425A21-3,Hoke County Board of Education v. State of North Carolina,North Carolina,"April 2, 2026",Education,False,https://statecourtreport.org/sites/default/files/2026-04/supreme_court_of_north_carolina-opinion.pdf
3-WAP-2024_Pennsylvania_2026/03/26,3 WAP 2024,Commonwealth v. Lee,Pennsylvania,"March 26, 2026",Criminal Law,False,https://statecourtreport.org/sites/default/files/2026-03/supreme_court_of_pennsylvania-concurring_opinion_dougherty.pdf
SC100965_Missouri_2026/03/24,SC100965,Missouri State Conference of the NAACP v. State,Missouri,"March 24, 2026",Voting Rights and Elections,False,https://statecourtreport.org/sites/default/files/2026-03/supreme_court_of_missouri-opinion_0.pdf
SC100997_Missouri_2026/03/24,SC100997,League of Women Voters of Missouri v. State,Missouri,"March 24, 2026",Voting Rights and Elections,False,https://statecourtreport.org/sites/default/files/2026-03/supreme_court_of_missouri-opinion_1.pdf
28331_South-Carolina_2026/05/13,28331,Butts v. Mace,South Carolina,"May 13, 2026",Government Structure,False,https://statecourtreport.org/sites/default/files/2026-05/supreme_court_of_south_carolina-opinion.pdf
2023-1614_Ohio_2026/04/30,2023-1614,State v. Morris,Ohio,"April 30, 2026",Criminal Law,False,https://statecourtreport.org/sites/default/files/2026-05/supreme_court_of_ohio-opinion.pdf
CV-26-116_Arkansas_2026/04/30,CV-26-116,Norris v. Independence County,Arkansas,"April 30, 2026",Judicial Selection and Administration,False,https://statecourtreport.org/sites/default/files/2026-05/supreme_court_of_arkansas-opinion.pdf
103672-8_Washington_2025/09/25,103672-8,In re Schoenhals,Washington,"September 25, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/fastcase/converted/In%20re%20Schoenhals%2C%20Wash.%20103672-8.pdf
