court_id,name,court_level,court_type,bench_size,selection_jurisdiction,selection_method,selection_type,term_length,url
ala,Supreme Court of Alabama,sup,Supreme Court,9,statewide,partisan election,partisan election,6,http://judicial.alabama.gov/supreme.cfm
alacrimapp,Court of Criminal Appeals of Alabama,apl,Court of Criminal Appeals,5,statewide,partisan election,partisan election,6,http://judicial.alabama.gov/criminal.cfm
alacivapp,Court of Civil Appeals of Alabama,apl,Court of Civil Appeals,5,statewide,partisan election,partisan election,6,http://judicial.alabama.gov/civil.cfm
alaska,Alaska Supreme Court,sup,Supreme Court,5,statewide,gubernatorial appointment from nominating commission,appointment,10,http://courts.alaska.gov/sp.htm
alaskactapp,Court of Appeals of Alaska,apl,Court of Appeal,3,statewide,gubernatorial appointment from nominating commission,appointment,8,http://courts.alaska.gov/appcts.htm
ariz,Arizona Supreme Court,sup,Supreme Court,7,statewide,gubernatorial appointment from nominating commission,appointment,6,http://www.azcourts.gov/azsupremecourt.aspx
arizctapp,Court of Appeals of Arizona,apl,Court of Appeal,22,division*,gubernatorial appointment from nominating commission,appointment,6,http://www.azcourts.gov/AZCourts/CourtofAppeals.aspx‎
ark,Supreme Court of Arkansas,sup,Supreme Court,7,statewide,nonpartisan election*+,nonpartisan election,8,https://courts.arkansas.gov/courts/supreme-court
arkctapp,Court of Appeals of Arkansas,apl,Court of Appeal,12,district,nonpartisan election*+,nonpartisan election,6,https://courts.arkansas.gov/courts/court-of-appeals
cal,California Supreme Court,sup,Supreme Court,7,statewide,gubernatorial appointment;**confirmation by commission on judicial appointments***,appointment,12,http://www.courts.ca.gov/supremecourt.htm
calctapp,California Court of Appeal,apl,Court of Appeal,102,district,gubernatorial appointment;**confirmation by commission on judicial appointments***,appointment,12,http://www.courts.ca.gov/courtsofappeal.htm
colo,Supreme Court of Colorado,sup,Supreme Court,7,statewide,gubernatorial appointment from nominating commission,appointment,10,http://www.coloradosupremecourt.com/
coloctapp,Colorado Court of Appeals,apl,Court of Appeal,22,statewide,gubernatorial appointment from nominating commission,appointment,8,http://www.courts.state.co.us/Courts/Court_Of_Appeals/
conn,Supreme Court of Connecticut,sup,Supreme Court,7,statewide,gubernatorial appointment from nominating commission,appointment,10,http://www.jud.state.ct.us/external/supapp/
connappct,Connecticut Appellate Court,apl,Appellate Court,,,,,,http://www.jud.ct.gov/external/supapp/appellate.htm‎
del,Supreme Court of Delaware,sup,Supreme Court,5,statewide,gubernatorial appointment from judicial nominating commission with senate consent*,appointment,12,http://courts.delaware.gov/supreme/
fla,Supreme Court of Florida,sup,Supreme Court,7,statewide,gubernatorial appointment from nominating commission,appointment,6,http://www.floridasupremecourt.org/
fladistctapp,District Court of Appeal of Florida,apl,District Court of Appeal,60,district,gubernatorial appointment from nominating commission,appointment,6,http://www.flcourts.org/courts/dca/dca.shtml
fladistctapp1,Florida First District Court of Appeal,apl,District Court of Appeal,60,district,gubernatorial appointment from nominating commission,appointment,6,
fladistctapp2,Florida Second District Court of Appeal,apl,District Court of Appeal,60,district,gubernatorial appointment from nominating commission,appointment,6,
fladistctapp3,Florida Third District Court of Appeal,apl,District Court of Appeal,60,district,gubernatorial appointment from nominating commission,appointment,6,
