state,court,name,birth_date,start_date,end_date,mandatory_retirement,chief_justice,chief_term,ticket_party,appointer_name,appointer_party,law_school,source_url,scraped_at,Unnamed: 0,JID,gender,party,race,professional experience,election type,term start,term end,next election date
Alabama,Supreme Court of Alabama,Sarah Hicks Stewart,"April 26, 1963","January 11, 2019",2030,,True,,Republican,,,Vanderbilt,https://en.wikipedia.org/wiki/Alabama_Supreme_Court,2026-05-19T20:06:42.389175+00:00,292.0,1abfa1fd-6835-4c1a-94ae-22c248cb6f78,female,republican,white,"misc. private practice, judicial","elected, partisan","january 11, 2019","january 19, 2025","november 5, 2024"
Alabama,Supreme Court of Alabama,Greg Shaw,"March 21, 1957","January 20, 2009",2026,,False,,Republican,,,Samford,https://en.wikipedia.org/wiki/Alabama_Supreme_Court,2026-05-19T20:06:42.389175+00:00,120.0,e9452568-f411-4f70-a534-0546a584bd40,male,republican,white,"misc. private practice, judicial","elected, partisan",2009,"january 18, 2027","november 3, 2026"
Alabama,Supreme Court of Alabama,Alisa Kelli Wise,"December 14, 1962","January 17, 2011",2028,,False,,Republican,,,Faulkner,https://en.wikipedia.org/wiki/Alabama_Supreme_Court,2026-05-19T20:06:42.389175+00:00,3.0,301ee9c5-59c4-41cb-b65e-2000be2d2872,female,republican,white,"corporate, misc. private practice, judicial, other exec branch experience","elected, partisan",2011,"january 15, 2029","november 2, 2028"
Alabama,Supreme Court of Alabama,Tommy Bryan,"May 16, 1956","January 11, 2013",2030,,False,,Republican,,,Faulkner,https://en.wikipedia.org/wiki/Alabama_Supreme_Court,2026-05-19T20:06:42.389175+00:00,325.0,e8d969ae-a68f-4e3f-bfc5-e06b89f6dfef,male,republican,white,"government civil (non civil rights), judicial, other exec branch experience","elected, partisan",2013,"january 19, 2025","november 5, 2024"
Alabama,Supreme Court of Alabama,Will Sellers,"February 10, 1963","May 25, 2017",2030,,False,,Republican,Kay Ivey,R,Alabama,https://en.wikipedia.org/wiki/Alabama_Supreme_Court,2026-05-19T20:06:42.389175+00:00,337.0,b5286607-9906-4fd3-a5f9-eb4c32de83d0,male,republican,white,"corporate, misc. private practice","appointed, elected, partisan","may 25, 2017","january 19, 2025","november 5, 2024"
Alabama,Supreme Court of Alabama,Brady E. Mendheim Jr.,"July 26, 1968","January 15, 2019",2026,,False,,Republican,Kay Ivey,R,Samford,https://en.wikipedia.org/wiki/Alabama_Supreme_Court,2026-05-19T20:06:42.389175+00:00,24.0,ebb362f5-eeb5-4704-9d6a-bbdfdb16f3f0,male,republican,white,"prosecutor, misc. private practice, judicial","appointed, elected, partisan","december 28, 2018","january 18, 2027","november 3, 2026"
Alabama,Supreme Court of Alabama,Greg Cook,1962 or 1963,"January 17, 2023",2028,,False,,Republican,,,Harvard,https://en.wikipedia.org/wiki/Alabama_Supreme_Court,2026-05-19T20:06:42.389175+00:00,119.0,0daa1422-b1ce-4800-8305-0fd979264c29,male,republican,white,"other public interest org, corporate, misc. private practice","elected, partisan","january 16, 2023",january 2029,"november 2, 2028"
Alabama,Supreme Court of Alabama,Chris McCool,1967 or 1968,"January 24, 2025",2030,,False,,Republican,,,Alabama,https://en.wikipedia.org/wiki/Alabama_Supreme_Court,2026-05-19T20:06:42.389175+00:00,47.0,53883952-2405-4b1f-8cb8-f039d1c0aae6,male,republican,white,"prosecutor, misc. private practice, judicial",elected,2024,,
Alabama,Supreme Court of Alabama,Will Parker,,"November 10, 2025",2026,,False,,Republican,Kay Ivey,R,Alabama,https://en.wikipedia.org/wiki/Alabama_Supreme_Court,2026-05-19T20:06:42.389175+00:00,335.0,bd24d427-b366-4665-b225-68dfb49060f7,male,republican,white,"government civil (non civil rights), other exec branch experience",appointed,"november 10, 2025",2026,"november 3, 2026 (special)"
Alaska,Alaska Supreme Court,Susan M. Carney,"June 17, 1961","August 26, 2016",2030,2031,True,2025–present,,Bill Walker,I,Harvard,https://en.wikipedia.org/wiki/Alaska_Supreme_Court,2026-05-19T20:06:42.747140+00:00,317.0,c0ae506b-40a3-4f8c-b26f-464542dae3c0,female,unsure,white,"public defender/other indigent defense, civil rights for govt","appointed, retention elected","may 12, 2016","february 1, 2031","november 5, 2030"
Alaska,Alaska Supreme Court,Dario Borghesan,"December 11, 1979","July 1, 2020",2034,2049,False,,,Mike Dunleavy,R,Michigan,https://en.wikipedia.org/wiki/Alaska_Supreme_Court,2026-05-19T20:06:42.747140+00:00,72.0,0a543aa7-ab1c-4fc0-b21a-771a97f556db,male,unsure,white,government civil (non civil rights),appointed,"july 1, 2020","february 2, 2025","november 5, 2024"
Alaska,Alaska Supreme Court,Jennifer S. Henderson,"June 10, 1976","July 7, 2021",2034,2046,False,,,Mike Dunleavy,R,Yale,https://en.wikipedia.org/wiki/Alaska_Supreme_Court,2026-05-19T20:06:42.747140+00:00,145.0,e4e6ccd4-0454-4421-a558-c8db0925e19c,female,unsure,white,"prosecutor, corporate, misc. private practice, judicial",appointed,"july 7, 2021","february 2, 2025","november 5, 2024"
