,JID,name,state,gender,party,race,professional experience,election type,term start,term end,next election date
0,6101036b-d8b6-4954-87b7-2b16a4b546f8,Abigail LeGrow,DE,female,unsure,white,"corporate, judicial","appointed, leg confirmed","may 3, 2023",2035,requires re-nomination and re-confirmation
1,f525a04f-587d-4efb-8009-1479043f22d4,Adam Tanenbaum,FL,male,republican,white,"government civil (non civil rights), judicial, legislative experience, other exec branch experience",appointed,"january 14, 2026","january 2, 2029",
2,9a1a1762-ff77-4061-8028-4e13b4e4adac,Aimee A. Oravec,AK,female,unsure,white,"corporate, misc. private practice",appointed,"january 31, 2025",2028,2028
3,301ee9c5-59c4-41cb-b65e-2000be2d2872,Alisa Kelli Wise,AL,female,republican,white,"corporate, misc. private practice, judicial, other exec branch experience","elected, partisan",2011,"january 15, 2029","november 2, 2028"
4,68c1f8ef-d8b0-4b7f-8518-0c7501127c6b,Allison Riggs,NC,female,democrat,white,"legal aid/non-govt civil rights, judicial",appointed,"september 11, 2023","december 31, 2024","november 7, 2024"
5,12a29efb-a8e0-43c6-99d3-e0ccf1ad4ea9,Andrew J. McDonald,CT,male,democrat,white,"corporate, government civil (non civil rights), legislative experience, other exec branch experience","appointed, leg confirmed","january 24, 2013","january 24, 2029",requires re-nomination and re-confirmation
6,74cb36e7-8ced-4839-a944-b6b4812cab15,Andrew M. Horton,ME,male,democrat,white,"corporate, misc. private practice, judicial","appointed, leg confirmed","february 4, 2020","february 3, 2027",n/a - requires reappointment/confirmation
7,56515f18-3257-41a3-97bb-c2c6743b8b30,Andrew M. Mead,ME,male,democrat,white,"misc. private practice, judicial","appointed, leg confirmed",2007,2028,n/a - requires reappointment/confirmation
8,1a416fac-278a-4124-95cc-0320a8c2ba9a,Andrew Pinson,GA,male,republican,white,"corporate, government civil (non civil rights), misc. private practice, judicial",appointed,"july 20, 2022","december 31, 2024","november 4, 2024"
9,5278550a-0fb5-441c-a721-0bf1e738ffa9,Angela M. Eaves,MD,female,unsure,black,", latino","prosecutor, legal aid/non-govt civil rights, defend criminal legal system, government civil (non civil rights), judicial","appointed, leg confirmed","april 12, 2022","december 31, 2024"
10,71396ef0-032e-496b-8409-ad0cf2e51417,Angela McCormick Bisig,KY,female,unsure,white,"prosecutor, misc. private practice, judicial","elected, nonpartisan","january 2, 2023",january 2031,"november 5, 2030"
11,c97f4367-d7f0-417c-bb4d-ef792e0acb32,Anita Earls,NC,female,democrat,black,"legal aid/non-govt civil rights, civil rights for govt, plaintiff-side civil private practice, misc. private practice","elected, partisan","january 1, 2019","december 31, 2026","november 3, 2026"
12,c5fba747-9e39-4d18-ae94-1b9a819d96ec,Ann A. Scott Timmer,AZ,female,unsure,white,"prosecutor, public defender/other indigent defense, corporate, misc. private practice, judicial","appointed, retention elected",2012,"january 1, 2029","november 2, 2028"
13,64c438fa-45b3-46e5-a250-f9336118cdb6,Anna Blackburne-Rigsby,DC,female,unsure,black,"corporate, government civil (non civil rights), judicial, other exec branch experience","appointed, leg confirmed",2006,"march 17, 2025",n/a
