,JID,name,state,gender,party,race,professional experience,election type,term start,term end,next election date
0,b05c0db9-0b0b-472a-9fd9-8de7871b8164,Abigail LeGrow,DE,female,unsure,white,"corporate, judicial","appointed, leg confirmed","may 3, 2023",2035,requires re-nomination and re-confirmation
1,cfbd5291-301d-4e40-b39e-941000c61a63,Adam Tanenbaum,FL,male,republican,white,"government civil (non civil rights), judicial, legislative experience, other exec branch experience",appointed,"january 14, 2026","january 2, 2029",
2,bfdd825b-df12-4b24-b2e5-ad6520fc0fa5,Aimee A. Oravec,AK,female,unsure,white,"corporate, misc. private practice",appointed,"january 31, 2025",2028,2028
3,47ad5d60-c555-488f-a5c6-99674d41be66,Alisa Kelli Wise,AL,female,republican,white,"corporate, misc. private practice, judicial, other exec branch experience","elected, partisan",2011,"january 15, 2029","november 2, 2028"
4,29f9ff1c-5047-431f-b8c0-e5b49db8855a,Allison Riggs,NC,female,democrat,white,"legal aid/non-govt civil rights, judicial",appointed,"september 11, 2023","december 31, 2024","november 7, 2024"
5,8bc86c7c-ed0a-499f-bca5-fdced395bf57,Andrew J. McDonald,CT,male,democrat,white,"corporate, government civil (non civil rights), legislative experience, other exec branch experience","appointed, leg confirmed","january 24, 2013","january 24, 2029",requires re-nomination and re-confirmation
6,5abb850b-5f69-4609-8d83-18b0c03e0d75,Andrew M. Horton,ME,male,democrat,white,"corporate, misc. private practice, judicial","appointed, leg confirmed","february 4, 2020","february 3, 2027",n/a - requires reappointment/confirmation
7,1e31014c-a890-43f9-a442-7915c445534e,Andrew M. Mead,ME,male,democrat,white,"misc. private practice, judicial","appointed, leg confirmed",2007,2028,n/a - requires reappointment/confirmation
8,7e4dc22f-a9d3-41d2-8777-0b386c9a0365,Andrew Pinson,GA,male,republican,white,"corporate, government civil (non civil rights), misc. private practice, judicial",appointed,"july 20, 2022","december 31, 2024","november 4, 2024"
9,2c9e04fb-cf31-4c65-934e-4270305b6fb9,Angela M. Eaves,MD,female,unsure,black,", latino","prosecutor, legal aid/non-govt civil rights, defend criminal legal system, government civil (non civil rights), judicial","appointed, leg confirmed","april 12, 2022","december 31, 2024"
10,119fe047-56f9-4ecc-8670-931882e85773,Angela McCormick Bisig,KY,female,unsure,white,"prosecutor, misc. private practice, judicial","elected, nonpartisan","january 2, 2023",january 2031,"november 5, 2030"
11,4722058c-ddf7-4c7c-a31e-3f2299166e5f,Anita Earls,NC,female,democrat,black,"legal aid/non-govt civil rights, civil rights for govt, plaintiff-side civil private practice, misc. private practice","elected, partisan","january 1, 2019","december 31, 2026","november 3, 2026"
12,e73b93b0-c73f-498b-8edf-137b86ea6e79,Ann A. Scott Timmer,AZ,female,unsure,white,"prosecutor, public defender/other indigent defense, corporate, misc. private practice, judicial","appointed, retention elected",2012,"january 1, 2029","november 2, 2028"
13,f2341d8e-a28e-430f-b74b-3ddda87cd78c,Anna Blackburne-Rigsby,DC,female,unsure,black,"corporate, government civil (non civil rights), judicial, other exec branch experience","appointed, leg confirmed",2006,"march 17, 2025",n/a
14,ec357462-7f2f-4e06-9209-38f95ed05071,Anne K. McKeig,MN,female,unsure,native american,"prosecutor, judicial, law professor/academia","appointed, elected, nonpartisan","september 15, 2016","january 7, 2025","november 5, 2024"
15,66bcd16a-4991-4cb1-9d68-ab34b00dc527,Anne M. Patterson,NJ,female,republican,white,"prosecutor, corporate, government civil (non civil rights), misc. private practice","appointed, leg confirmed","september 1, 2011","april 15, 2029",no-reelection - must be renominated and re-confirmed
16,79ac797f-7b5e-4b7c-a43a-febe6c73eea3,"Annette Kingsland
  Ziegler",WI,female,republican,white,"prosecutor, misc. private practice, judicial","elected, nonpartisan","august 1, 2007","july 31, 2027","april 6, 2027"
17,7663328f-69c5-4c03-bde9-0999f8c37df0,Anthony Cannataro,NY,male,democrat,white,"government civil (non civil rights), judicial","appointed, leg confirmed","june 8, 2021","june 1, 2035",have to be renominated and leg elected
18,d7545df7-3c8d-46a7-a660-ddb6e2be61ae,Aruna Masih,OR,female,unsure,indian american,", punjabi",", south asian american","legal aid/non-govt civil rights, plaintiff-side civil private practice, misc. private practice",appointed,"september 1, 2023"
19,d488f1bb-9011-41fe-a83d-b34bb6feae41,Barbara A. Madsen,WA,female,democrat,white,"prosecutor, public defender/other indigent defense, judicial","elected, nonpartisan","january 11, 1993","january 1, 2029","november 7, 2028"
20,a8d788e7-42fc-412f-8bac-d228400d4240,Barbara Webb,AR,female,unsure,white,"prosecutor, corporate, misc. private practice, judicial, other exec branch experience","elected, nonpartisan","january 1, 2021","december 31, 2028","november 7, 2028"
