name,state,slri_name,match_status
Sarah Hicks Stewart,Alabama,Sarah H. Stewart,matched
Greg Shaw,Alabama,Greg Shaw,matched
Alisa Kelli Wise,Alabama,Alisa Kelli Wise,matched
Tommy Bryan,Alabama,Tommy Bryan,matched
Will Sellers,Alabama,William B. Sellers,matched
Brady E. Mendheim Jr.,Alabama,"Brady E. Mendheim, Jr.",matched
Greg Cook,Alabama,Greg Cook,matched
Chris McCool,Alabama,Chris McCool,matched
Will Parker,Alabama,Will Parker,matched
Susan M. Carney,Alaska,Susan M. Carney,matched
Dario Borghesan,Alaska,Dario Borghesan,matched
Jennifer S. Henderson,Alaska,Jennifer S. Henderson,matched
Jude Pate,Alaska,Jude Pate,matched
Aimee A. Oravec,Alaska,Aimee A. Oravec,matched
Ann Timmer,Arizona,Ann A. Scott Timmer,matched
John Lopez IV,Arizona,John R. Lopez IV,matched
Clint Bolick,Arizona,Clint Bolick,matched
James Beene,Arizona,James P. Beene,matched
Kathryn Hackett King,Arizona,Kathryn H. King,matched
Maria Elena Cruz,Arizona,Maria Elena Cruz,matched
Karen R. Baker,Arkansas,Karen R. Baker,matched
Courtney Rae Hudson,Arkansas,Courtney Rae Hudson,matched
Rhonda K. Wood,Arkansas,Rhonda K. Wood,matched
Shawn Womack,Arkansas,Shawn A. Womack,matched
Barbara Womack Webb,Arkansas,Barbara Webb,matched
J. Cody Hiland,Arkansas,J. Cody Hiland,matched
Patricia Guerrero,California,Patricia Guerrero,matched
Carol Corrigan,California,Carol A. Corrigan,matched
Goodwin Liu,California,Goodwin H. Liu,matched
Leondra Kruger,California,Leondra R. Kruger,matched
Joshua Groban,California,Joshua P. Groban,matched
Kelli Evans,California,Kelli Evans,matched
Monica Márquez,Colorado,Monica M. Márquez,matched
Brian Boatright,Colorado,Brian D. Boatright,matched
William W. Hood III,Colorado,"William W. Hood, III",matched
Richard L. Gabriel,Colorado,Richard L. Gabriel,matched
Carlos Samour,Colorado,"Carlos A. Samour, Jr.",matched
Maria Berkenkotter,Colorado,Maria E. Berkenkotter,matched
Raheem L. Mullins,Connecticut,Raheem L. Mullins,matched
Andrew J. McDonald,Connecticut,Andrew J. McDonald,matched
Gregory D'Auria,Connecticut,Gregory T. D’Auria,matched
Steven D. Ecker,Connecticut,Steven D. Ecker,matched
Nora Dannehy,Connecticut,Nora Dannehy,matched
William H. Bright Jr.,Connecticut,"William H. Bright, Jr.",matched
Collins J. Seitz Jr.,Delaware,"Collins J. Seitz, Jr.",matched
Karen L. Valihura,Delaware,Karen L. Valihura,matched
Gary Traynor,Delaware,Gary F. Traynor,matched
Abigail LeGrow,Delaware,Abigail LeGrow,matched
N. Christopher Griffiths,Delaware,N. Christopher Griffiths,matched
Carlos G. Muñiz,Florida,Carlos G. Muñiz,matched
Jorge Labarga,Florida,Jorge Labarga,matched
John D. Couriel,Florida,John D. Couriel,matched
Jamie Grosshans,Florida,Jamie R. Grosshans,matched
Renatha Francis,Florida,Renatha Francis,matched
Meredith Sasso,Florida,Meredith Sasso,matched
Adam Tanenbaum,Florida,Adam Tanenbaum,matched
Nels S. D. Peterson,Georgia,Nels S.D. Peterson,matched
Sarah Hawkins Warren,Georgia,Sarah Hawkins Warren,matched
Charlie Bethel,Georgia,Charles J. Bethel,matched
John J. Ellington,Georgia,John J. Ellington,matched
Carla Wong McMillian,Georgia,Carla Wong McMillian,matched
Shawn Ellen LaGrua,Georgia,Shawn Ellen LaGrua,matched
Verda Colvin,Georgia,Verda M. Colvin,matched
Andrew Pinson,Georgia,Andrew Pinson,matched
Benjamin Land,Georgia,Benjamin A. Land,matched
Vladimir Devens,Hawaii,Vladimir Devens,matched
Sabrina McKenna,Hawaii,Sabrina S. McKenna,matched
Todd W. Eddins,Hawaii,Todd W. Eddins,matched
Lisa M. Ginoza,Hawaii,Lisa Ginoza,matched
G. Richard Bevan,Idaho,G. Richard Bevan,matched
Robyn Brody,Idaho,Robyn M. Brody,matched
Gregory W. Moeller,Idaho,Gregory W. Moeller,matched
Colleen Zahn,Idaho,Colleen D. Zahn,matched
Cynthia Meyer,Idaho,Cynthia Meyer,matched
P. Scott Neville Jr.,Illinois,"P. Scott Neville, Jr.",matched
David K. Overstreet,Illinois,David K. Overstreet,matched
Lisa Holder White,Illinois,Lisa Holder White,matched
Joy Cunningham,Illinois,Joy V. Cunningham,matched
Elizabeth Rochford,Illinois,Elizabeth Rochford,matched
Mary Kay O'Brien,Illinois,Mary Kay O’Brien,matched
Sanjay Tailor,Illinois,Sanjay T. Tailor,matched
Loretta Rush,Indiana,Loretta H. Rush,matched
Mark Massa,Indiana,Mark S Massa,matched
Geoffrey G. Slaughter,Indiana,Geoffrey G Slaughter,matched
Christopher M. Goff,Indiana,Christopher M Goff,matched
Derek R. Molter,Indiana,Derek Molter,matched
Susan Christensen,Iowa,Susan Christensen,matched
Edward Mansfield,Iowa,Edward M. Mansfield,matched
Thomas D. Waterman,Iowa,Thomas D. Waterman,matched
Christopher McDonald,Iowa,Christopher McDonald,matched
Dana Oxley,Iowa,Dana Oxley,matched
Matthew McDermott,Iowa,Matthew McDermott,matched
David N. May,Iowa,David N. May,matched
Eric S. Rosen,Kansas,Eric S. Rosen,matched
Caleb Stegall,Kansas,Caleb Stegall,matched
Melissa Standridge,Kansas,Melissa Taylor Standridge,matched
Larkin Walsh,Kansas,Larkin Walsh,matched
Debra H. Lambert,Kentucky,Debra Hembree Lambert,matched
Robert B. Conley,Kentucky,Robert B. Conley,matched
Michelle M. Keller,Kentucky,Michelle M. Keller,matched
Christopher Shea Nickell,Kentucky,Christopher Shea Nickell,matched
Kelly Thompson,Kentucky,Kelly Thompson,matched
Angela McCormick Bisig,Kentucky,Angela McCormick Bisig,matched
Pamela R. Goodwine,Kentucky,Pamela R. Goodwine,matched
John L. Weimer,Louisiana,John L. Weimer,matched
Jefferson D. Hughes III,Louisiana,Jefferson D. Hughes III,matched
Jay McCallum,Louisiana,Jay B. McCallum,matched
Piper D. Griffin,Louisiana,Piper D. Griffin,matched
John Guidry,Louisiana,John Guidry,matched
Cade Cole,Louisiana,Cade Cole,matched
Valerie Stanfill,Maine,Valerie Stanfill,matched
Andrew Mead,Maine,Andrew M. Mead,matched
Catherine Connors,Maine,Catherine R. Connors,matched
Rick E. Lawrence,Maine,Rick Lawrence,matched
Wayne R. Douglas,Maine,Wayne Douglas,matched
Julia M. Lipez,Maine,Julia M. Lipez,matched
Matthew J. Fader,Maryland,Matthew Fader,matched
Shirley M. Watts,Maryland,Shirley M. Watts,matched
Brynja M. Booth,Maryland,Brynja M. Booth,matched
Jonathan Biran,Maryland,Jonathan Biran,matched
Steven B. Gould,Maryland,Steven B. Gould,matched
Angela M. Eaves,Maryland,Angela M. Eaves,matched
Peter Killough,Maryland,Peter K. Killough,matched
Kimberly S. Budd,Massachusetts,Kimberly S. Budd,matched
Frank Gaziano,Massachusetts,Frank M. Gaziano,matched
Scott L. Kafker,Massachusetts,Scott L. Kafker,matched
Dalila Argaez Wendlandt,Massachusetts,Dalila Argaez Wendlandt,matched
Serge Georges Jr.,Massachusetts,"Serge Georges, Jr.",matched
Gabrielle Wolohojian,Massachusetts,Gabrielle Wolohojian,matched
Megan Cavanagh,Michigan,Megan K. Cavanagh,matched
Brian K. Zahra,Michigan,Brian K. Zahra,matched
Richard H. Bernstein,Michigan,Richard Bernstein,matched
Elizabeth M. Welch,Michigan,Elizabeth M. Welch,matched
Kyra Harris Bolden,Michigan,Kyra Harris Bolden,matched
