state,name,birth_date,start_date,end_date,mandatory_retirement,ticket_party,appointer_name,appointer_party,chief_justice,chief_term,law_school
Alabama,Sarah Hicks Stewart,"April 26, 1963","January 11, 2019",2030,,Republican,,,True,,
Alabama,Greg Shaw,"March 21, 1957","January 20, 2009",2026,,Republican,,,False,,
Alabama,Alisa Kelli Wise,"December 14, 1962","January 17, 2011",2028,,Republican,,,False,,
Alabama,Tommy Bryan,"May 16, 1956","January 11, 2013",2030,,Republican,,,False,,
Alabama,Will Sellers,"February 10, 1963","May 25, 2017",2030,,Republican,Kay Ivey,R,False,,
Alabama,Brady E. Mendheim Jr.,"July 26, 1968","January 15, 2019",2026,,Republican,Kay Ivey,R,False,,
Alabama,Greg Cook,1962 or 1963,"January 17, 2023",2028,,Republican,,,False,,
Alabama,Chris McCool,1967 or 1968,"January 24, 2025",2030,,Republican,,,False,,
Alabama,Will Parker,,"November 10, 2025",2026,,Republican,Kay Ivey,R,False,,
Alaska,Susan M. Carney,"June 17, 1961","August 26, 2016",2030,2031,,Bill Walker,I,True,2025–present,Harvard
Alaska,Dario Borghesan,"December 11, 1979","July 1, 2020",2034,2049,,Mike Dunleavy,R,False,,Michigan
Alaska,Jennifer S. Henderson,"June 10, 1976","July 7, 2021",2034,2046,,Mike Dunleavy,R,False,,Yale
Alaska,Jude Pate,1965,"March 22, 2023",2026,2035,,Mike Dunleavy,R,False,,Lewis and Clark
Alaska,Aimee A. Oravec,"July 28, 1971","January 31, 2025",2028,2041,,Mike Dunleavy,R,False,,WashU
Arizona,Ann Timmer,"September 12, 1960","October 12, 2012",2028,2030,,Jan Brewer,R,True,,
Arizona,John Lopez IV Vice,1968,"December 19, 2016",2026,2038,,Doug Ducey,R,False,,
Arizona,Clint Bolick,"December 26, 1957","January 6, 2016",2030,2027,,Doug Ducey,R,False,,
Arizona,James Beene,1965,"April 26, 2019",2028,2035,,Doug Ducey,R,False,,
Arizona,Bill Montgomery,"March 2, 1967","September 6, 2019",2028,2037,,Doug Ducey,R,False,,
