state,name,birth_date,start_date,end_date,mandatory_retirement,ticket_party,appointer_name,appointer_party,chief_justice,chief_term,law_school,Unnamed: 0,JID,gender,party,race,professional experience,election type,term start,term end,next election date,match_quality
Alabama,Sarah Hicks Stewart,"April 26, 1963","January 11, 2019",2030,,Republican,,,True,,,292.0,eb58f789-5340-4922-ba26-7b70cfa5f201,female,republican,white,"misc. private practice, judicial","elected, partisan","january 11, 2019","january 19, 2025","november 5, 2024",High
Alabama,Greg Shaw,"March 21, 1957","January 20, 2009",2026,,Republican,,,False,,,120.0,6abc7659-6b2d-4f70-9007-123b579495d3,male,republican,white,"misc. private practice, judicial","elected, partisan",2009,"january 18, 2027","november 3, 2026",High
Alabama,Alisa Kelli Wise,"December 14, 1962","January 17, 2011",2028,,Republican,,,False,,,3.0,47ad5d60-c555-488f-a5c6-99674d41be66,female,republican,white,"corporate, misc. private practice, judicial, other exec branch experience","elected, partisan",2011,"january 15, 2029","november 2, 2028",High
Alabama,Tommy Bryan,"May 16, 1956","January 11, 2013",2030,,Republican,,,False,,,325.0,a1c2f688-bdc0-45f1-bfc8-fe63015f2cb0,male,republican,white,"government civil (non civil rights), judicial, other exec branch experience","elected, partisan",2013,"january 19, 2025","november 5, 2024",High
Alabama,Will Sellers,"February 10, 1963","May 25, 2017",2030,,Republican,Kay Ivey,R,False,,,337.0,e8146e22-9a4e-4d09-b00d-619e83813d5a,male,republican,white,"corporate, misc. private practice","appointed, elected, partisan","may 25, 2017","january 19, 2025","november 5, 2024",High
Alabama,Brady E. Mendheim Jr.,"July 26, 1968","January 15, 2019",2026,,Republican,Kay Ivey,R,False,,,24.0,3b60527f-c08a-4cbe-9185-a010df20e914,male,republican,white,"prosecutor, misc. private practice, judicial","appointed, elected, partisan","december 28, 2018","january 18, 2027","november 3, 2026",High
Alabama,Greg Cook,1962 or 1963,"January 17, 2023",2028,,Republican,,,False,,,119.0,38ffbfcd-ae66-4f9e-a13e-7e6d65394e0f,male,republican,white,"other public interest org, corporate, misc. private practice","elected, partisan","january 16, 2023",january 2029,"november 2, 2028",High
Alabama,Chris McCool,1967 or 1968,"January 24, 2025",2030,,Republican,,,False,,,47.0,b954c4bc-763f-4957-8000-d6795ca3b36b,male,republican,white,"prosecutor, misc. private practice, judicial",elected,2024,,,High
Alabama,Will Parker,,"November 10, 2025",2026,,Republican,Kay Ivey,R,False,,,335.0,5772650b-cb0f-4c14-9dd1-c300bd6c6e0b,male,republican,white,"government civil (non civil rights), other exec branch experience",appointed,"november 10, 2025",2026,"november 3, 2026 (special)",High
Alaska,Susan M. Carney,"June 17, 1961","August 26, 2016",2030,2031,,Bill Walker,I,True,2025–present,Harvard,317.0,75420309-7ebc-4947-9afb-d9872c0bd448,female,unsure,white,"public defender/other indigent defense, civil rights for govt","appointed, retention elected","may 12, 2016","february 1, 2031","november 5, 2030",High
